"","RAV185","RAV833","RAV100","RAV1187","RAV1302","RAV630","RAV684","RAV316","RAV578","RAV324","RAV579","RAV1796","RAV725","RAV338","RAV120"
"TCGA-BR-6453",-0.0657140279135694,0.70367868672898,-0.118374904838884,0.445983639254467,1.07347040433825,-0.76898716546769,0.0899921178416407,0.266513420047979,-0.182176364654054,0.595051037179473,0.695102261837463,-0.270849618550316,-0.21523370024652,0.294142382094309,0.00728450787088627
"TCGA-BR-6454",0.194638054563667,0.286883324777205,1.045922943233,-0.24696523437741,-0.268834530649633,0.266566798344889,1.36409269414947,-1.29592842572751,0.436935089109815,0.21776687757665,-0.568812230708176,1.09723591304329,0.174707584249608,-0.200763743534644,-0.418836747227506
"TCGA-BR-6457",0.865056301274787,0.553188292697608,1.72661110163421,-0.880641573986436,0.854109554890736,0.0830144444608652,0.562939622365442,-0.619683868275033,-1.16203101199568,0.516081702253823,1.1485606051773,1.01939986461957,0.873888194486168,-0.911538047432153,-0.0895229601888342
"TCGA-BR-6458",0.470809533250723,0.971443643494821,0.746044620622999,-0.36287740834264,0.0433205105478712,-0.0839644161150257,-0.165715616975508,0.1688501510303,-0.377745001732081,0.52537790490338,0.34734540261633,-0.0181030702317361,0.530493876596958,-0.482533203130381,0.22935634038345
"TCGA-BR-6564",-0.374818725438006,0.281454138490527,0.964700089480629,0.512336477781904,1.29959134467621,0.213484533062061,1.47681807515699,-1.04471534319979,0.125013079107389,0.10044760047731,0.400324392023353,0.664335415474901,-0.597639762887408,0.569752281157787,-1.05616549932098
"TCGA-BR-6802",1.66742253254193,1.04364528126473,-1.99268912326316,-0.696812775360657,0.0157678674233189,-3.17630527621496,-3.44290837969991,2.93156502316128,-1.71603152514238,0.613074616811509,1.53836832879456,-1.64748605078329,1.69646937264514,-1.62022904134025,3.36807297291173
"TCGA-BR-6852",0.175056892709264,1.09507032839597,-0.944934403433003,0.337223544932825,-0.185559003484883,-1.44641133720418,-0.116766155829946,1.08129300513677,0.322950450352698,0.951844287051681,-0.350536858996255,-1.01061444126381,0.236790885084151,-0.00210804589637056,1.34928967669924
"TCGA-BR-7704",-1.28621534665564,-0.296317872045835,0.00379768821074521,1.61462529383658,0.938436943940009,0.83663424082899,1.63780111976323,-1.3177290816619,1.50804340091415,-0.69926881193655,-0.554025342620161,0.230256194192526,-1.70236045668228,1.59864343168405,-1.76863018900859
"TCGA-BR-7715",-0.0317684745908504,0.578922855870035,-0.954529159942388,0.528399393458993,-0.657929354340565,-1.74325143292086,-0.0393566609858745,0.325784611985038,0.869695411065903,-0.00920801897800369,-1.09734820189776,-0.641568018774529,-0.174204603881342,0.305919413765858,0.661039937998947
"TCGA-BR-7716",-0.77529631847102,0.66039045270754,-0.486424326421134,1.26943794311576,0.791916529458918,-0.184853479025817,0.563856054855454,0.383315886769121,1.00877828317932,0.440452107254401,-0.133815013674184,-0.873687827451375,-0.893767881629842,0.991967171675208,-0.310407220781177
"TCGA-BR-7717",-0.431601521730519,0.458918558645747,-1.67222228912889,1.20364665872346,-0.540042268465725,-1.95142116604545,-0.103919654588153,0.909210684128812,1.41534220335145,-0.11648567886071,-1.38110354726277,-1.3315761031676,-0.662345818249042,0.829681261650993,0.708671076473003
"TCGA-BR-7851",-0.443211451742856,0.800238751481958,0.132240050704214,0.699865921081584,2.07932708747578,-0.540489295540331,-0.159588057711831,0.8273147481697,-0.688220628353398,1.09547644057172,1.55271651988641,-0.815410253771132,-0.592518792722458,0.717937810299806,-0.647644015811134
"TCGA-CG-5720",0.717622267098542,0.906484192078807,0.959456875961379,-0.858879186441368,0.439706957286954,-0.0924275480230594,1.16196596662233,-1.06180593443912,-0.96780834468698,0.868470571507158,0.898282638108654,1.37281396751463,0.836721343418366,-0.780217221127866,0.254933545659753
"TCGA-CG-5721",2.19294685405546,0.768656130132877,1.30439255883255,-2.41654236416223,-1.25388311201156,-0.492564329560312,-0.556052118578686,-0.412367957733867,-1.63746000135527,0.527171343109487,0.552759035303948,1.46631505517947,2.44005046183847,-2.45272970668398,1.78192801464142
"TCGA-CG-5722",1.28955613666053,0.159798982689702,2.32064739032852,-1.70762147725369,-0.77304676256705,1.28663394645616,1.22449267681733,-2.06327648134048,-0.651690951505324,0.0266525829004868,0.0689020235159925,2.31670508589655,1.4304433148085,-1.57924789867811,-0.0229764997777089
"TCGA-CG-5728",1.81345260809805,0.620336426280442,1.8369301447867,-2.32462910513993,-1.51728126972529,0.126728258024129,0.79578586751768,-1.66748590525634,-1.04218836098163,0.278232994016286,-0.146658473992464,2.15571228686063,2.04830728563282,-2.08451485818857,1.08763857457971
"TCGA-CG-5730",1.26287148554322,0.551787252583192,1.19559624809651,-1.33188262156965,1.07896659685321,0.00994092744885255,0.470544575060567,-0.626943961899296,-1.93098189963518,0.915008542943803,1.86964527669272,1.35351240015672,1.29705962016631,-1.30048733108087,0.661710955244004
"TCGA-CG-5733",0.356391779226608,0.891629663628412,0.056492964343001,-0.244380776990496,-0.278533691735757,-0.424370944278715,0.821409917252055,-0.424074237505931,0.139862875012803,0.481676062272993,-0.103773679682173,0.304698244779706,0.415248479847265,-0.340232840063129,0.685019674863057
"TCGA-CG-5734",0.320919362086594,0.812786008692619,0.245613181392094,-0.0821012811917286,1.4592326765942,-0.629549580813798,0.859597887000787,-0.418030520258214,-1.04165753954473,1.10859284512491,1.33751550554043,0.481932615091394,0.349785735318845,-0.278279593704781,0.394820539458821
