"","RAV188","RAV578","RAV324","RAV1302","RAV833","RAV2432"
"TCGA-A6-2671",-0.272436704731174,0.237984367971787,0.369096468805086,0.808520316359792,0.0473811292342538,-0.38734413050423
"TCGA-A6-2675",1.29377801152554,-0.119820256217666,-1.4629174347536,-0.99522522858152,-1.75075839249482,-1.72471485858634
"TCGA-A6-2678",-0.158556528897385,0.49767812930998,-0.0839585315601956,0.785927498144856,0.0470577891905186,-0.258252793747544
"TCGA-A6-2679",-0.121149608461997,0.396753374298911,0.303564088952764,-0.127732563874123,0.354487865390334,0.575035551900274
"TCGA-A6-2680",-0.296915015836735,-3.06790381802338,-0.328114510673188,2.73975457156204,-0.223011785725505,-0.487032959337987
"TCGA-A6-2682",-0.817374012487912,0.321793678447176,0.962570281611974,0.560884666179963,0.961308757336416,1.22829175427434
"TCGA-A6-2683",-0.797013637173995,0.267753095679583,0.8150033796439,1.14929334254325,0.897760042649203,0.711902511893291
"TCGA-A6-2684",-1.62961274638877,-0.848597085330407,1.43253644155756,0.748876827566236,1.25447477026827,1.3313823474164
"TCGA-A6-2685",-0.683455300161977,0.370517305710189,1.00147247074868,0.900501196705633,0.809125951197676,0.536200951486812
"TCGA-A6-2686",-0.64506335037647,0.119643852516122,0.647585762553594,1.23997693283138,0.591180155802714,0.290445459981023
"TCGA-A6-5659",-1.04264115991809,-3.10655573973828,0.196050158429177,-1.31872872093523,0.0526138869889606,0.805957073962754
"TCGA-A6-5662",1.21801122214913,0.0223867534362846,-1.41808286436876,-0.85088223686093,-1.18864512705034,-1.08632593172474
"TCGA-A6-5665",-0.867215502837066,-1.75029954921452,0.358333037076834,-0.223870754053066,0.310371660805735,0.818920218545137
"TCGA-A6-5667",-0.561512455267467,-0.210923645255854,0.429091846371051,0.0837428602111541,0.325100018103833,0.434081134442938
"TCGA-AA-3489",1.58857875541338,0.916064262053848,-1.01468827251925,-1.29290966816856,-0.66090845478566,-1.2655073220367
"TCGA-AA-3496",1.38643461320371,-0.621856257995768,-1.81888999320053,-1.56551342642205,-1.71077815688124,-1.57580572393178
"TCGA-AA-3511",-0.0176373491898562,0.432298247881432,0.00081326706935352,-0.439904408592883,0.416205388691168,0.632461676458447
"TCGA-AA-3514",-0.988596602867861,-0.129963214701612,1.3725608553013,0.546952792773308,1.11865390322646,1.18453010761237
"TCGA-AA-3516",-0.595919964450835,-0.602907392929799,0.617846831148809,0.69356145252076,0.434891715874403,0.267141480480796
"TCGA-AA-3517",-0.0664548049913219,1.35344864095727,0.36617533815608,0.600595062475413,0.627117400964687,0.730716129359724
"TCGA-AA-3518",-0.545339696456852,-0.462457290740878,0.187875505278002,0.651077470066136,0.172121179571864,-0.16864707738216
"TCGA-AA-3520",-0.584562423561676,0.873066820179897,0.787401036382868,1.18905686979628,0.837049147809587,0.666313982158395
"TCGA-AA-3522",-0.781324215796292,0.654600897126352,0.766308370334677,1.21733303348655,0.824013616483872,0.723386206277307
"TCGA-AA-3525",-0.693895589733094,-0.085755019386818,0.970532607536383,-0.614463010586418,1.01457488511817,1.69829441220953
"TCGA-AA-3527",-0.0394990375271189,1.19716241789221,0.424194624300188,0.957990987958297,0.523518255615638,0.0109515076299461
"TCGA-AA-3531",-0.834833658934588,-0.288064968481069,0.864145983793988,1.04632088195945,0.778632991002789,0.830955962314886
"TCGA-AA-3534",-0.468731202515078,-0.0448872761837206,0.313349040311574,-0.0603241850946657,0.41755950983802,0.756256400073437
"TCGA-AA-3655",0.0663576663312009,0.211685343239535,-0.0353766892475022,0.061570658941487,0.194506444523045,-0.425401894913292
"TCGA-AA-3660",-1.12879931611603,-1.24128760085469,0.916777680012923,-0.161805686145189,0.875202502227648,0.832100459147072
"TCGA-AA-3662",-0.0466086202817084,-0.2928048410133,-0.377377487813335,-0.347526262049929,-0.00465609134993744,-0.814131993410987
"TCGA-AA-3663",0.89565745298513,0.169962119434436,-1.15585682489856,-0.988247109766035,-1.03743133418921,-0.829405029830321
"TCGA-AA-3697",0.880170746562546,1.69142825309348,0.218776647965776,-0.497483063239467,-0.0403368398167807,0.111565938400116
"TCGA-AA-3712",-0.700198441113795,-0.486186851725464,0.337824965020361,0.0528938856555971,0.336207586960111,0.502421731841862
"TCGA-AA-3713",-0.47962597117689,-0.536727895808406,0.634947830812164,0.0180652651176124,0.728475183362038,0.659952093068993
"TCGA-AZ-6598",0.893079651657451,0.715509623645437,-0.783136685318069,-0.443806747567296,-0.659151457954907,-0.631852493910215
"TCGA-AZ-6599",0.384984916100904,0.615670825120882,-0.316449093918955,-0.134105335211326,-0.412949104475857,-0.471311263731758
"TCGA-AZ-6600",0.0773971262404175,-0.174950651319403,-0.0576360489059055,-0.768488311419031,-0.284170662381881,0.0910710530729946
"TCGA-AZ-6601",0.687462176074305,0.432256010741729,-0.615313193553918,-0.871601022110764,-0.794547776517499,-0.649045534878497
"TCGA-AZ-6603",2.30269514443275,1.32465612012904,-1.76668009455253,-1.66918983308646,-1.76274302561461,-1.69868550558349
"TCGA-AZ-6605",3.12647666756302,-0.08967379454735,-3.57896861230732,-2.49312579434543,-3.82988477045148,-3.21681578431771
"TCGA-F4-6704",1.06388876701254,1.33930301060278,-0.481388181583444,-0.187963204744837,-0.5896187585477,-0.740055846181067
