"","RAV324","RAV438","RAV222","RAV220","RAV188","RAV868","RAV119","RAV190","RAV468","RAV1008","RAV312","RAV2344","RAV517","RAV625","RAV21"
"TCGA-3M-AB46",0.944136985136552,-0.305097313853545,0.438741311551095,-0.937957527560505,-0.93161084770412,0.711582051143037,-0.808757433274356,0.901268524303573,0.704346122762694,-0.82926120269358,1.01697490426408,-0.403730391669712,0.166363572559825,0.274548776340095,-0.425544506711121
"TCGA-3M-AB47",-0.623909150414084,0.401960421150289,-0.129368941114806,1.0631424480454,0.152403010873508,-0.570868095473543,-0.846970605180176,-0.706309585283189,0.329456396792362,0.771868711023388,0.352225068647272,0.547441870506377,0.701949759146875,-0.407655577139758,-0.560243580741911
"TCGA-B7-5816",0.111277178223955,-0.0148021570333269,0.806873732610236,0.295537532142317,0.868894940870269,-0.302502379562869,1.06170393207664,0.112358060535861,-0.414769850167403,0.445342623656636,-0.607173693205049,-0.302389913563261,-1.79577105361231,1.32550107676283,1.1154196853814
"TCGA-B7-5818",0.639569677149129,0.890392939636836,2.51764834368025,-1.02187779726804,-0.836791603074658,0.14991088230528,0.735780902878187,1.76795265912339,0.439839221047673,-1.86129879214567,-0.321482171261834,-1.50721083862621,-1.89555723190095,2.70278090581745,2.57376832344094
"TCGA-B7-A5TI",0.137128331946226,-0.490975086087487,-0.16083963273985,0.166517654150156,-0.142809191477402,0.191268076383276,0.520572092746085,-0.274510452787417,-0.620104671093723,0.22361156138914,-0.458332541139317,-0.323409763801184,-0.0743040338938187,0.464963588657005,0.299857951451362
"TCGA-B7-A5TJ",1.33402440398096,-0.54630649571268,0.208316906273703,-0.577744304119719,-1.44376796418174,0.635462680849597,0.96578227679009,0.621785537037753,-0.558527553637887,-0.671678813138232,-0.954672753553898,-0.73748770497463,0.689666179367305,0.971689219480647,0.993314232621493
"TCGA-B7-A5TK",-0.379162074742427,-0.0317511762284862,0.456163031185465,0.692132322338068,1.21686975988987,-0.5010082948688,-0.70759653985248,-0.364125753383752,0.54546091896005,0.624461096787709,1.0922287996888,-0.0872931209924004,-1.60642047733242,0.440096445698124,-0.774614962894609
"TCGA-B7-A5TN",0.462633832836863,-0.530973559237845,-0.591817022426541,0.246100224418385,0.323724810939314,0.257198155509944,1.07460270196768,-0.325325295358117,-1.07545808042739,0.495935080429558,-1.10953981341134,-0.0795874996400686,-0.0456248628132895,0.489857281683584,0.373483763640694
"TCGA-BR-4187",-1.48117653312001,0.544252854609843,-0.31089258495076,2.05515506617053,1.22099979314942,-1.5600817057492,-1.43605823880602,-1.53029979354867,0.845524823815976,1.8038870606326,0.885699309506686,1.59820077882074,0.822686789625346,-1.01787468936213,-1.13397898508464
"TCGA-BR-4191",-0.834374064632259,0.383340312390741,-0.0414161307401378,0.552097143134952,0.628984908078166,-0.400443091662963,-1.41925267794579,-0.186030651543949,0.772743938171942,0.531199992973705,1.14950701569038,0.609979344070244,0.0485820814382627,-1.55876499481191,-1.17917506602803
"TCGA-BR-4201",-0.825279322027153,0.0504821450737398,-0.366647647470266,0.677135797563483,1.28739353975322,-0.453392612407969,-1.7207653434364,-0.656762395224994,0.903548701887366,1.00599824921395,1.66823717999577,0.780094788620248,-0.0581384576577917,-1.1869611733963,-1.72694471808005
"TCGA-BR-4253",0.357533361271353,-0.370435727563846,1.28731582315649,-0.393904897804276,0.00620124509685189,0.62404304788866,-2.49425045491299,1.05343516671242,1.69088099571586,-0.837431978809186,3.2594679731321,-1.2677925246236,-2.46821905745605,-0.154130078151204,-2.08721719034231
"TCGA-BR-4255",-1.02841428559072,-0.841549426260197,-1.65866395778446,1.52979186190684,1.76922177698704,-0.467266012381889,0.257729459844097,-1.92039783623612,-1.11531606593638,1.89730036919309,-0.503018570643413,0.908122437630122,0.197830976803545,-0.594460892882465,-0.855181151424497
"TCGA-BR-4256",-1.08157787511783,-0.740769935804634,-0.97307916169377,1.51427379670456,2.12411581006642,-0.541921459907886,-0.204109010353669,-1.69138147674429,-0.62868978121234,1.59207135619652,0.494380404291233,0.417461831566519,-1.3070631819605,-0.449145688926127,-1.58809349361619
"TCGA-BR-4257",0.807865731234001,-0.714502316389171,0.979492535304439,-0.527853132394227,-0.0911208572261264,0.52750822347228,-0.982448772670633,0.697797206905901,0.785095450068652,-0.292226333949703,1.43879810500689,-1.0750755917576,-1.47816737422304,0.827699539589976,-0.585562790956193
"TCGA-BR-4267",0.527341125329366,-1.11065899870904,-0.324523829198421,-0.460014394712868,-0.0696912896217145,1.0949059663041,-0.418439585693894,0.185518978540062,-0.146957582769854,0.0190888150139484,0.631363842022982,-0.559053647500303,-0.636592582095583,-0.103523440372898,-0.867447965487621
"TCGA-BR-4279",-1.25890402877984,0.0572853036308333,-0.0546371645148712,1.73437054642145,1.29075893240016,-1.13897495297595,-3.05117112913157,-0.967492273444658,1.81311336451346,1.96431705615929,2.58409488727358,1.49392645386514,0.460695061436706,-1.47368134577894,-2.34119356137606
"TCGA-BR-4280",1.47567620066873,-1.21170393761325,0.709084832785578,-1.05468820403838,-1.79310744792846,1.4399341233083,-0.535596794863816,1.18659485161448,0.201065221301589,-1.38211503796947,0.94368066612488,-1.43117859792749,-0.840023947635857,0.858215888394397,-0.477534340189575
"TCGA-BR-4292",1.20906230141269,-1.77785242641955,-0.425912598243358,-0.529689682730332,-0.860890962321554,1.71920618754289,0.349070623180561,0.562682512664533,-0.937478138561916,-0.756772181168932,0.226415202029517,-1.15905453175713,-1.16967549925319,0.30460455572626,-0.83990071961928
