"","RAV188","RAV1575","RAV324","RAV61","RAV1008","RAV833","RAV868","RAV190","RAV220","RAV64","RAV834","RAV192","RAV438"
"TCGA-AM-5820",0.11869862939726,-0.192198276595647,-0.180501793832999,-0.136524337404818,0.221102027451494,-0.346869095664848,0.273589318001258,-0.312728285993589,0.00703458778749332,0.569883745428794,-0.390221333144244,0.0812490707517218,-0.619271432517484
"TCGA-DM-A1D0",-1.40582047904726,-1.35025446545842,1.44612608923266,1.01544962751687,-1.1521559984333,1.3230635300819,1.91999292015299,0.745144937190563,-1.55080257353561,1.47526986514066,-0.429887074144549,1.92199901059716,-1.58339781612631
"TCGA-CM-6167",2.40246648450533,2.06416903993918,-3.10271662825802,-1.82979193220583,2.45187725764185,-2.53518887245878,-2.81250245633069,-2.52217002265678,2.93031877740444,-2.37464139052019,-1.67709848234084,-2.27995107694885,2.18345449878085
"TCGA-D5-6930",0.645775110894696,0.400016907493299,-0.463014197909386,-0.364233927420926,0.309649620088446,-0.369298688034824,-0.871456077270665,-0.119427415480043,0.671755741737895,-0.735838858190528,1.18136371037547,-0.543384107179945,0.718708677129458
"TCGA-G4-6586",-1.31137393665182,-1.17988884376966,1.97714596310067,1.1279896016922,-1.93603823569594,1.57733936326537,1.44763072647625,1.92849927508621,-1.17739988711882,1.06648836239526,2.49126427656729,1.0790096340895,-0.820242319743811
"TCGA-AA-3511",0.0505094654578884,0.498201117084162,-0.159464542784243,-0.570144953227985,0.642911961750138,-0.318935531830092,-0.24176220202857,-0.5295024891015,0.502624920113839,-0.0407134179668718,-0.608664485568776,0.068167439393112,-0.144708220829533
"TCGA-A6-5660",-0.0709158523117788,-0.0358864791846137,0.218555514129563,-0.0980786801085366,0.0972907635198703,-0.115104467194636,0.31447132362908,-0.33044941244852,-0.090851202817801,0.430688279332936,-1.34090548101714,-0.0152588591292774,-0.340796541234127
"TCGA-G4-6311",0.286441724250289,0.33242757322538,-0.137289960010436,-0.133966500660174,0.232184461383326,-0.457591841664985,-0.537706730870425,-0.221635287555828,0.118349065218849,-0.398296467847106,-0.268671912937111,-0.583116920671155,0.71053745960691
"TCGA-F4-6460",0.760091438576925,0.571491183702805,-1.47656361292789,-0.791790938084573,1.1284715636847,-0.966988456382676,-1.40246327646668,-1.4657938510181,1.34493269807727,-1.01721018935495,-1.2036334582279,-0.601929348321608,1.07481298655839
"TCGA-AA-3713",-0.206317783795579,0.670428093430913,0.226003330167438,-0.715680433707326,0.112990425535281,0.619450063730051,0.244832450607097,0.11701863951616,0.250115322363763,-0.325187599233036,1.91852963632052,-0.171623907122177,-0.508242840236727
"TCGA-AZ-6600",0.527056965648422,0.818203449013448,-0.304208247424611,-1.08266685831563,0.82058518192781,-0.341545002946618,-0.447722589439362,-0.902337538438656,0.872956978629542,-0.654219461553042,0.0278517883257889,-0.0828203092965878,-0.163460201478347
"TCGA-A6-6138",0.789999198915551,0.827155677166204,-0.738889287113623,-0.880078387169,0.66617706140296,-0.727387739518302,-0.631643237857621,-0.550703960867992,0.798254242902978,-0.814612346689898,-0.269059098593119,-1.2901057608284,0.224182471555958
"TCGA-CK-5915",-1.49996891311876,-1.61670222503427,1.00184680943022,1.44448224228084,-1.20691916889033,0.811902778581984,1.1201202556239,0.983589697888634,-1.76253629602909,1.58047310577719,-0.276834660978892,1.13131579485986,-0.586006533745939
"TCGA-DM-A28F",-0.963294742377079,-0.853433766417744,1.50371040666858,0.482282310600556,-1.0140592287333,1.05643156214245,1.39386927353773,0.598482037847185,-1.06596048489748,0.99084733440378,-0.345602600441218,1.43573798574705,-1.23791248880916
"TCGA-AY-6386",-0.91083438036324,-0.455694630082069,1.33907370480833,0.348449090468541,-0.621965715848979,1.15293046064532,0.929170547662185,1.2150478776919,-0.875296895563999,0.811502094234996,1.30167935846232,0.632917797237217,-0.915696530308137
"TCGA-A6-2682",0.563373605114894,0.548750684332357,-0.485796106165053,-0.487398277019593,0.750870435110696,-0.280630127150306,-0.201785473513635,-0.470819928997783,0.538557216236412,-0.1605215872295,-0.402536604921012,-0.249197779001391,-0.0145285649159109
"TCGA-AY-6197",-0.68335124567145,-0.323427085193148,0.879382180205126,0.206978851572875,-0.728936463850908,0.801319869789837,0.632913228322999,0.666707374390079,-0.565345107221175,0.480816902508931,1.59719396806911,0.847083662140173,-0.784897429887739
"TCGA-AZ-4615",0.128766808226089,0.388547306310371,0.616915445687392,-0.0130398080635657,-0.19973786707208,-0.0876210454073645,0.254343322038127,0.581801298386516,-0.0631248357109412,-0.072471864483659,1.85720160912875,-0.719612380556972,-0.0366837542110234
"TCGA-G4-6320",-1.31537982569308,-1.37544246342551,0.932851271076155,1.55518079349146,-1.30110185256758,1.07197505138959,0.490868427588473,1.25268336224528,-0.983553732616512,0.952392331226888,1.02000544705999,0.833994440021183,0.585590233863982
"TCGA-A6-A5ZU",0.00188528778413912,-0.805483857901856,-1.13043281696387,2.00367216559367,-0.405145024276646,-1.76385146014453,-2.27680711228992,0.986558814003991,-0.152805332639703,0.0298018029317698,-1.27996339595051,-2.71850122519568,4.61419884663969
"TCGA-CK-5914",-0.206210597361658,-0.318622160082571,0.410793612422072,0.201562502659222,-0.508878301794905,-0.00209607808643857,0.672502836418286,0.373056929171826,-0.78734279452869,0.671180177527753,-0.558845302271931,-0.0310851352031009,-0.732867081624735
