"","RAV188","RAV1575","RAV324","RAV832","RAV61","RAV1008","RAV868","RAV64","RAV220","RAV834","RAV833","RAV438","RAV190","RAV1166","RAV192"
"TCGA-3L-AA1B",0.426812778188769,0.579811449354803,-1.15847512795941,-0.284210711250738,-0.487912804117146,0.869751422279656,-0.752165600463078,-0.842309436177536,0.721302505048755,-1.08302653100065,-0.412793926646215,0.769999391347935,-1.02159225541577,-0.694191707666442,-0.269174583988256
"TCGA-4N-A93T",-1.48612275378726,-1.27209888002351,1.01142646911503,-0.736009440740926,1.47149374724092,-1.27842878943622,0.459383875162904,0.730402535130361,-0.510499499195511,-0.319207555696516,1.28461814340616,0.584052808384763,0.991784535740392,0.610937994637617,1.23695205430067
"TCGA-4T-AA8H",-1.94224001240106,-1.70386913979593,1.23071780963749,-1.59411712956643,2.31682621116208,-1.64912050862489,0.258256896797753,1.52321665606117,-1.48542016816257,0.715969530169579,1.38633080522072,1.1813546982151,2.09863531048071,0.501033972703866,0.792756293202202
"TCGA-5M-AAT4",-0.484717938914951,-0.914462280216628,0.829981633533885,0.662194865510574,0.801253928366067,-0.975221241578495,0.730459359609363,0.760086879088908,-1.0143594288824,-0.349504466715907,0.372386734971578,-0.54636739039547,0.50600902713108,1.3811031332892,1.56659214411438
"TCGA-5M-AAT6",1.7408034105103,0.838929831302989,-1.55690916827038,1.91521085947377,-0.172479237623728,0.520153115255402,-1.46361738329877,-1.54989130141148,0.638754160178648,0.376902050638677,-1.39883246982344,1.81352426841563,-0.446013791180762,-1.21178454688107,-1.7282409872414
"TCGA-5M-AATE",-0.567482546165015,-1.21951288462905,-0.0405997314539871,1.24385000433186,1.4210450682185,-0.90482297225732,-0.338121818411173,0.630505104606852,-0.927682060134579,-1.0406582163243,-0.20552552620012,1.26981034344173,0.701768028191134,0.929589405809884,-0.0780733654423648
"TCGA-A6-2675",0.361528499808902,0.969103948591854,-0.86182140642121,-1.32969922308518,-0.695031316290119,1.17648133055714,-1.28340932040149,-0.741700548559668,1.18367827476186,-0.421352582430702,-0.80252582005017,1.01132140298538,-0.721530571059097,-1.31237875138882,-1.09475301513759
"TCGA-A6-2682",0.545516044870739,0.526831376465174,-0.473080115941053,0.59856043016032,-0.472482399359182,0.736443648132813,-0.193073740275891,-0.153065321649065,0.499170246223775,-0.399344196507695,-0.285166748065743,-0.0375617200428898,-0.456823779250096,-0.488150774101677,-0.243727659425713
"TCGA-A6-2684",1.07631137250697,1.05206479690753,-0.82209931387892,0.317170208435015,-1.07260195018386,0.923845846054139,-0.98151865911234,-1.08081233955413,1.13257251770709,-0.87111446840509,-0.925408101896758,0.461641823177027,-0.992411250199553,-0.707309512532161,-0.813238021497871
"TCGA-A6-2685",1.26943078841584,1.70216629388859,-1.47927935180721,-1.40671168161237,-1.80299652132645,1.9570400222204,-1.8068246829964,-1.47934925275792,2.28099810198002,-0.687434460077251,-1.18101230092053,0.623942141047735,-1.81760846793528,-1.86696321050925,-0.976773104787616
"TCGA-A6-2686",0.711399106550706,0.702469943122588,-0.431462430150643,0.55956244549072,-0.69554931599957,0.182943959105804,-0.223395726603691,-0.793211671117955,1.12470970145144,1.01091699629286,-0.0974949789543772,0.224663888790138,-0.636773291475076,-0.9204422589321,-0.991669826484441
"TCGA-A6-4105",0.573001327215454,0.4309775399951,-0.551514855973553,0.69281034549203,-0.474962226178634,0.244022533727421,-0.512812571165875,-0.381337277693595,0.333242268312716,0.0291374955549082,-0.444903904416012,0.159432716064157,-0.204516666572501,-0.333758174910309,-0.629255421016765
"TCGA-A6-5656",-0.876156040622962,-1.06122562242924,0.418222340542611,0.299129653545516,1.21479676740119,-0.844829395629841,0.0987924633455245,0.77107314214079,-0.61406740023791,-0.981177492938904,0.215264394739643,0.6782138648237,0.566979430049196,1.0114817262016,0.3567230505969
"TCGA-A6-5657",1.85021045195576,1.62801101474906,-1.12308871223368,0.190031102562025,-2.00578768799524,1.58450562234152,-0.837759944571934,-1.83117838698952,1.46623662518904,-0.658608714060641,-1.17757421029729,-0.321667142559648,-2.17808742393457,-0.811395310125563,0.0456203892329037
"TCGA-A6-5659",0.287319039855333,-0.0331173881809184,-0.361543312301673,0.569448618555146,-0.262204814084601,0.263282328202522,0.0704963445059735,0.0491745447210733,0.115805395722867,-1.56794499595098,-0.521550447431786,-0.276503259906638,-0.716943674819948,0.404023339224373,0.0125684265516069
"TCGA-A6-5660",-0.0690515538339167,-0.0289887349928777,0.201642165006117,0.69963046685175,-0.104839207611721,0.112707753333648,0.323100053620332,0.401386204724986,-0.0969331123044436,-1.30793780812667,-0.121405349828087,-0.362547251203162,-0.321749612727749,0.626161451748456,-0.00987614176869729
"TCGA-A6-5661",-1.0210505649016,-1.02922430091646,0.791712559842903,-1.09136884453722,1.7086959445201,-1.13172273112214,-0.268265520000309,1.30353799001156,-1.2766957733402,1.9147230228152,0.732016945639249,1.09172538101244,2.05098817024525,-0.199424426523612,-0.868436564537904
"TCGA-A6-5662",0.0941489883347574,-0.0997187575432907,-0.283160416312883,0.43344811868149,0.0920513041448311,0.420163406647286,-0.108605150710896,0.0808054493283663,0.0818639664921135,-1.62513126613769,-0.500585495881938,0.0248245361984419,-0.586806572421624,0.448033489389297,0.0472010136725594
"TCGA-A6-5664",1.48278034498626,1.45968887229715,-1.55620747274613,-0.224143874601452,-1.48967851102251,1.73581977647541,-1.56542099982909,-1.48305817760669,1.51703005943131,-0.258542889835725,-0.928341286113843,0.406143886536831,-1.41686373254477,-1.46374358245858,-0.760649001727102
